y/m,rainfall,rainfall,max_rainfall_per_day,max_rainfall_per_day,>=50mm,>=15m/s,avg wind
1922/1,58.4,0,10.8,0,0,,
1922/2,150.3,0,36.7,0,0,,
1922/3,111.8,0,27.9,0,0,,
1922/4,100.6,0,29.6,0,0,,
1922/5,58.8,0,25.1,0,0,,
1922/6,139.5,0,57.0,0,1,,
1922/7,299.1,0,112.0,0,3,,
1922/8,49.7,0,35.7,0,0,,
1922/9,147.0,0,95.4,0,1,,
1922/10,161.1,0,62.7,0,1,,
1922/11,95.8,0,26.4,0,0,,
1922/12,13.3,0,8.2,0,0,,
1923/1,20.6,0,10.9,0,0,,
1923/2,49.3,0,34.2,0,0,,
1923/3,113.2,0,35.6,0,0,,
1923/4,151.1,0,35.2,0,0,,
1923/5,247.9,0,47.6,0,0,,
1923/6,316.0,0,58.6,0,2,,
1923/7,214.6,0,46.3,0,0,,
1923/8,69.2,0,60.7,0,1,,
1923/9,139.1,0,26.0,0,0,,
1923/10,160.3,0,40.8,0,0,,
1923/11,134.4,0,18.9,0,0,,
1923/12,37.5,0,12.8,0,0,,
1924/1,5.7,0,2.3,0,0,,
1924/2,33.9,0,10.9,0,0,,
1924/3,35.0,0,9.0,0,0,,
1924/4,150.8,0,63.2,0,1,,
1924/5,171.9,0,50.7,0,1,,
1924/6,104.5,0,37.4,0,0,,
1924/7,27.1,0,16.3,0,0,,
1924/8,71.5,0,26.4,0,0,,
1924/9,148.5,0,53.3,0,1,,
1924/10,121.0,0,36.9,0,0,,
1924/11,45.7,0,18.2,0,0,,
1924/12,17.5,0,10.7,0,0,,
1925/1,19.5,0,8.1,0,0,,
1925/2,47.5,0,23.3,0,0,,
1925/3,24.3,0,3.8,0,0,,
1925/4,118.6,0,34.5,0,0,,
1925/5,200.0,0,85.0,0,1,,
1925/6,206.4,0,46.3,0,0,,
1925/7,130.0,0,68.0,0,1,,
1925/8,99.0,0,56.4,0,1,,
1925/9,325.1,0,119.7,0,2,,
1925/10,71.9,0,24.5,0,0,,
