        ,神戸         ,神戸         ,神戸         ,神戸         ,神戸          ,神戸          ,神戸          ,神戸          ,神戸              ,神戸              ,神戸              ,神戸                ,神戸                ,神戸                ,神戸        ,神戸        ,神戸
年月      ,降水量の合計(mm) ,降水量の合計(mm) ,降水量の合計(mm) ,降水量の合計(mm) ,日降水量の最大(mm) ,日降水量の最大(mm) ,日降水量の最大(mm) ,日降水量の最大(mm) ,日降水量50mm以上日数(日) ,日降水量50mm以上日数(日) ,日降水量50mm以上日数(日) ,日最大風速15m/s以上日数(日) ,日最大風速15m/s以上日数(日) ,日最大風速15m/s以上日数(日) ,平均風速(m/s) ,平均風速(m/s) ,平均風速(m/s)
        ,           ,           ,           ,           ,            ,            ,            ,            ,                ,                ,                ,                  ,                  ,                  ,          ,          ,
        ,           ,現象なし情報     ,品質情報       ,均質番号       ,            ,現象なし情報      ,品質情報        ,均質番号        ,                ,品質情報            ,均質番号            ,                  ,品質情報              ,均質番号              ,          ,品質情報      ,均質番号
1922/1  ,58.4       ,0          ,8          ,1          ,10.8        ,0           ,8           ,1           ,0               ,8               ,1               ,0                 ,8                 ,1                 ,3.8       ,8         ,1
1922/2  ,150.3      ,0          ,8          ,1          ,36.7        ,0           ,8           ,1           ,0               ,8               ,1               ,0                 ,8                 ,1                 ,3.3       ,8         ,1
1922/3  ,111.8      ,0          ,8          ,1          ,27.9        ,0           ,8           ,1           ,0               ,8               ,1               ,2                 ,8                 ,1                 ,3.5       ,8         ,1
1922/4  ,100.6      ,0          ,8          ,1          ,29.6        ,0           ,8           ,1           ,0               ,8               ,1               ,0                 ,8                 ,1                 ,3.3       ,8         ,1
1922/5  ,58.8       ,0          ,8          ,1          ,25.1        ,0           ,8           ,1           ,0               ,8               ,1               ,0                 ,8                 ,1                 ,3.0       ,8         ,1
1922/6  ,139.5      ,0          ,8          ,1          ,57.0        ,0           ,8           ,1           ,1               ,8               ,1               ,0                 ,8                 ,1                 ,2.9       ,8         ,1
1922/7  ,299.1      ,0          ,8          ,1          ,112.0       ,0           ,8           ,1           ,3               ,8               ,1               ,0                 ,8                 ,1                 ,2.7       ,8         ,1
1922/8  ,49.7       ,0          ,8          ,1          ,35.7        ,0           ,8           ,1           ,0               ,8               ,1               ,0                 ,8                 ,1                 ,3.0       ,8         ,1
